client_location,sector,percentile,2024-10-01_to_2024-12-31,2025-01-01_to_2025-03-31,2025-04-01_to_2025-06-30,2025-07-01_to_2025-09-30,2025-10-01_to_2025-12-31,unit,source_url
In Australia,Foreign Affairs or Defence Sector,25,92,71,96,61,39,calendar_days,https://www.homeaffairs.gov.au/research-and-stats/files/student-temporary-grad-program-report-dec-2025.pdf
In Australia,Foreign Affairs or Defence Sector,50,112,106,156,107,92,calendar_days,https://www.homeaffairs.gov.au/research-and-stats/files/student-temporary-grad-program-report-dec-2025.pdf
In Australia,Foreign Affairs or Defence Sector,75,153,130,212,158,113,calendar_days,https://www.homeaffairs.gov.au/research-and-stats/files/student-temporary-grad-program-report-dec-2025.pdf
In Australia,Higher Education Sector,25,106,5,72,21,89,calendar_days,https://www.homeaffairs.gov.au/research-and-stats/files/student-temporary-grad-program-report-dec-2025.pdf
In Australia,Higher Education Sector,50,113,103,113,153,128,calendar_days,https://www.homeaffairs.gov.au/research-and-stats/files/student-temporary-grad-program-report-dec-2025.pdf
In Australia,Higher Education Sector,75,172,207,203,169,154,calendar_days,https://www.homeaffairs.gov.au/research-and-stats/files/student-temporary-grad-program-report-dec-2025.pdf
In Australia,Independent ELICOS Sector,25,35,28,0,10,0,calendar_days,https://www.homeaffairs.gov.au/research-and-stats/files/student-temporary-grad-program-report-dec-2025.pdf
In Australia,Independent ELICOS Sector,50,116,131,79,140,126,calendar_days,https://www.homeaffairs.gov.au/research-and-stats/files/student-temporary-grad-program-report-dec-2025.pdf
In Australia,Independent ELICOS Sector,75,195,215,207,156,147,calendar_days,https://www.homeaffairs.gov.au/research-and-stats/files/student-temporary-grad-program-report-dec-2025.pdf
In Australia,Non-Award Sector,25,0,0,0,0,0,calendar_days,https://www.homeaffairs.gov.au/research-and-stats/files/student-temporary-grad-program-report-dec-2025.pdf
In Australia,Non-Award Sector,50,0,33,0,5,8,calendar_days,https://www.homeaffairs.gov.au/research-and-stats/files/student-temporary-grad-program-report-dec-2025.pdf
In Australia,Non-Award Sector,75,7,106,40,145,64,calendar_days,https://www.homeaffairs.gov.au/research-and-stats/files/student-temporary-grad-program-report-dec-2025.pdf
In Australia,Postgraduate Research Sector,25,41,9,77,22,43,calendar_days,https://www.homeaffairs.gov.au/research-and-stats/files/student-temporary-grad-program-report-dec-2025.pdf
