period_start,period_end,visa_subclass,stream,citizenship_country,percentile_50_raw,percentile_75_raw,percentile_90_raw,source_type,source_url
2024-01-01,2024-12-31,500,Postgraduate Research Sector,Bangladesh,15 Days,36 Days,4 Months,Home Affairs data access release,https://www.homeaffairs.gov.au/foi/files/data-request-2025/da-250100017-document-released.PDF
2024-01-01,2024-12-31,500,Postgraduate Research Sector,Bhutan,11 Days,57 Days,3 Months,Home Affairs data access release,https://www.homeaffairs.gov.au/foi/files/data-request-2025/da-250100017-document-released.PDF
2024-01-01,2024-12-31,500,Postgraduate Research Sector,Brazil,36 Days,4 Months,4 Months,Home Affairs data access release,https://www.homeaffairs.gov.au/foi/files/data-request-2025/da-250100017-document-released.PDF
2024-01-01,2024-12-31,500,Postgraduate Research Sector,Canada,13 Days,24 Days,32 Days,Home Affairs data access release,https://www.homeaffairs.gov.au/foi/files/data-request-2025/da-250100017-document-released.PDF
2024-01-01,2024-12-31,500,Postgraduate Research Sector,Chile,27 Days,4 Months,4 Months,Home Affairs data access release,https://www.homeaffairs.gov.au/foi/files/data-request-2025/da-250100017-document-released.PDF
2024-01-01,2024-12-31,500,Postgraduate Research Sector,China Peoples Republic of excl SARs,33 Days,70 Days,5 Months,Home Affairs data access release,https://www.homeaffairs.gov.au/foi/files/data-request-2025/da-250100017-document-released.PDF
2024-01-01,2024-12-31,500,Postgraduate Research Sector,Colombia,72 Days,4 Months,5 Months,Home Affairs data access release,https://www.homeaffairs.gov.au/foi/files/data-request-2025/da-250100017-document-released.PDF
2024-01-01,2024-12-31,500,Postgraduate Research Sector,Egypt,25 Days,38 Days,44 Days,Home Affairs data access release,https://www.homeaffairs.gov.au/foi/files/data-request-2025/da-250100017-document-released.PDF
2024-01-01,2024-12-31,500,Postgraduate Research Sector,Ethiopia,48 Days,73 Days,4 Months,Home Affairs data access release,https://www.homeaffairs.gov.au/foi/files/data-request-2025/da-250100017-document-released.PDF
2024-01-01,2024-12-31,500,Postgraduate Research Sector,France,11 Days,25 Days,42 Days,Home Affairs data access release,https://www.homeaffairs.gov.au/foi/files/data-request-2025/da-250100017-document-released.PDF
2024-01-01,2024-12-31,500,Postgraduate Research Sector,Germany Fed Republic of,1 Day,33 Days,4 Months,Home Affairs data access release,https://www.homeaffairs.gov.au/foi/files/data-request-2025/da-250100017-document-released.PDF
2024-01-01,2024-12-31,500,Postgraduate Research Sector,Ghana,45 Days,3 Months,5 Months,Home Affairs data access release,https://www.homeaffairs.gov.au/foi/files/data-request-2025/da-250100017-document-released.PDF
2024-01-01,2024-12-31,500,Postgraduate Research Sector,India,26 Days,81 Days,5 Months,Home Affairs data access release,https://www.homeaffairs.gov.au/foi/files/data-request-2025/da-250100017-document-released.PDF
2024-01-01,2024-12-31,500,Postgraduate Research Sector,Indonesia,11 Days,27 Days,3 Months,Home Affairs data access release,https://www.homeaffairs.gov.au/foi/files/data-request-2025/da-250100017-document-released.PDF
2024-01-01,2024-12-31,500,Postgraduate Research Sector,Iran,48 Days,4 Months,10 Months,Home Affairs data access release,https://www.homeaffairs.gov.au/foi/files/data-request-2025/da-250100017-document-released.PDF
2024-01-01,2024-12-31,500,Postgraduate Research Sector,Italy,3 Days,22 Days,4 Months,Home Affairs data access release,https://www.homeaffairs.gov.au/foi/files/data-request-2025/da-250100017-document-released.PDF
2024-01-01,2024-12-31,500,Postgraduate Research Sector,Jordan,28 Days,84 Days,4 Months,Home Affairs data access release,https://www.homeaffairs.gov.au/foi/files/data-request-2025/da-250100017-document-released.PDF
2024-01-01,2024-12-31,500,Postgraduate Research Sector,Kenya,41 Days,82 Days,3 Months,Home Affairs data access release,https://www.homeaffairs.gov.au/foi/files/data-request-2025/da-250100017-document-released.PDF
2024-01-01,2024-12-31,500,Postgraduate Research Sector,Korea South,35 Days,4 Months,4 Months,Home Affairs data access release,https://www.homeaffairs.gov.au/foi/files/data-request-2025/da-250100017-document-released.PDF
2024-01-01,2024-12-31,500,Postgraduate Research Sector,Malaysia,18 Days,47 Days,4 Months,Home Affairs data access release,https://www.homeaffairs.gov.au/foi/files/data-request-2025/da-250100017-document-released.PDF
2024-01-01,2024-12-31,500,Postgraduate Research Sector,Mexico,13 Days,33 Days,4 Months,Home Affairs data access release,https://www.homeaffairs.gov.au/foi/files/data-request-2025/da-250100017-document-released.PDF
2024-01-01,2024-12-31,500,Postgraduate Research Sector,Nepal,16 Days,56 Days,4 Months,Home Affairs data access release,https://www.homeaffairs.gov.au/foi/files/data-request-2025/da-250100017-document-released.PDF
2024-01-01,2024-12-31,500,Postgraduate Research Sector,Netherlands Kingdom of The,2 Days,21 Days,4 Months,Home Affairs data access release,https://www.homeaffairs.gov.au/foi/files/data-request-2025/da-250100017-document-released.PDF
2024-01-01,2024-12-31,500,Postgraduate Research Sector,Nigeria,44 Days,3 Months,4 Months,Home Affairs data access release,https://www.homeaffairs.gov.au/foi/files/data-request-2025/da-250100017-document-released.PDF
2024-01-01,2024-12-31,500,Postgraduate Research Sector,Pakistan,81 Days,6 Months,11 Months,Home Affairs data access release,https://www.homeaffairs.gov.au/foi/files/data-request-2025/da-250100017-document-released.PDF
2024-01-01,2024-12-31,500,Postgraduate Research Sector,Philippines,26 Days,48 Days,4 Months,Home Affairs data access release,https://www.homeaffairs.gov.au/foi/files/data-request-2025/da-250100017-document-released.PDF
2024-01-01,2024-12-31,500,Postgraduate Research Sector,Saudi Arabia,50 Days,4 Months,5 Months,Home Affairs data access release,https://www.homeaffairs.gov.au/foi/files/data-request-2025/da-250100017-document-released.PDF
2024-01-01,2024-12-31,500,Postgraduate Research Sector,Singapore,27 Days,3 Months,4 Months,Home Affairs data access release,https://www.homeaffairs.gov.au/foi/files/data-request-2025/da-250100017-document-released.PDF
2024-01-01,2024-12-31,500,Postgraduate Research Sector,Sri Lanka,23 Days,43 Days,4 Months,Home Affairs data access release,https://www.homeaffairs.gov.au/foi/files/data-request-2025/da-250100017-document-released.PDF
2024-01-01,2024-12-31,500,Postgraduate Research Sector,Taiwan,28 Days,4 Months,4 Months,Home Affairs data access release,https://www.homeaffairs.gov.au/foi/files/data-request-2025/da-250100017-document-released.PDF
2024-01-01,2024-12-31,500,Postgraduate Research Sector,Thailand,20 Days,57 Days,4 Months,Home Affairs data access release,https://www.homeaffairs.gov.au/foi/files/data-request-2025/da-250100017-document-released.PDF
2024-01-01,2024-12-31,500,Postgraduate Research Sector,United Kingdom,4 Days,25 Days,89 Days,Home Affairs data access release,https://www.homeaffairs.gov.au/foi/files/data-request-2025/da-250100017-document-released.PDF
2024-01-01,2024-12-31,500,Postgraduate Research Sector,United States of America,14 Days,35 Days,4 Months,Home Affairs data access release,https://www.homeaffairs.gov.au/foi/files/data-request-2025/da-250100017-document-released.PDF
2024-01-01,2024-12-31,500,Postgraduate Research Sector,Vietnam,23 Days,57 Days,4 Months,Home Affairs data access release,https://www.homeaffairs.gov.au/foi/files/data-request-2025/da-250100017-document-released.PDF
