platform,source_class,snapshot_or_reference_date,visa_subclass,stream_or_scope,p25_raw,p50_raw,p75_raw,p90_raw,reported_average_days,data_origin,representativeness,source_url
One U Education,Official-data republisher,2026-09-23,500,Foreign Affairs or Defence Sector,1 day,3 days,8 days,15 days,,Claims Home Affairs global processing times,Republished aggregate not independent sample,https://www.oneuedu.com/en-US/visa/processing-time
One U Education,Official-data republisher,2026-09-23,500,Postgraduate Research Sector,3 days,12 days,29 days,60 days,,Claims Home Affairs global processing times,Republished aggregate not independent sample,https://www.oneuedu.com/en-US/visa/processing-time
One U Education,Official-data republisher,2026-09-23,500,Independent ELICOS Sector,5 days,18 days,28 days,52 days,,Claims Home Affairs global processing times,Republished aggregate not independent sample,https://www.oneuedu.com/en-US/visa/processing-time
One U Education,Official-data republisher,2026-09-23,500,Non-Award Sector,1 day,1 day,14 days,25 days,,Claims Home Affairs global processing times,Republished aggregate not independent sample,https://www.oneuedu.com/en-US/visa/processing-time
One U Education,Official-data republisher,2026-09-23,500,Higher Education Sector,10 days,19 days,40 days,71 days,,Claims Home Affairs global processing times,Republished aggregate not independent sample,https://www.oneuedu.com/en-US/visa/processing-time
One U Education,Official-data republisher,2026-09-23,500,Schools Sector,15 days,26 days,50 days,213 days,,Claims Home Affairs global processing times,Republished aggregate not independent sample,https://www.oneuedu.com/en-US/visa/processing-time
One U Education,Official-data republisher,2026-09-23,500,Vocational Education and Training Sector,32 days,91 days,210 days,217 days,,Claims Home Affairs global processing times,Republished aggregate not independent sample,https://www.oneuedu.com/en-US/visa/processing-time
WIDEN,Official-data republisher,2026-09-04,500,All 7 streams; values match current official guide,1 day to 32 days,1 day to 3 months,8 days to 7 months,15 days to 7 months,,Home Affairs global processing times,Useful monthly archive; not independent sample,https://www.widen.com.au/processing-times/500/
Migratio,Official-data republisher,2026-06-30,500,All 7 streams,<1 day to 44 days,<1 day to 7 months,11 days to 7 months,21 days to 7 months,,Home Affairs global processing times,Historical snapshot; not current at collection date,https://migratio.com.au/processing-times/500-student-visa
VisaClarity Australia,Crowdsourced tracker,2026-02-05,500,Overall,,,,,26,User-submitted timeline database,Unknown sample size and selection bias,https://visaclarityaustralia.com.au/tools/timeline-tracker
WaitVisa,Official-data republisher,2026-09-24,500,Overall published range,1 day,,,7 months,,Latest Home Affairs data claimed,Range collapses unlike streams,https://waitvisa.com/australia/student-visa-500
Australian Visa Tracker,Official-data aggregator,2026-09-24,500,90th percentile range across streams,,,,15 days to 7.1 months,,Official processing-time aggregation claimed,Range only; stream detail required for decisions,https://australianvisatracker.com/
Tern,Personalised estimator and official/FOI data interface,2026-09,500,Nationality by inside/outside Australia,,,,,,Official and FOI data plus platform estimation,Model output depends on inputs and is not an official promise,https://ternvisa.com/en/tools/processing-times/500/42
VisaTracker Australia,Community tracker,2026-07,500,Community-powered tracker,,,,,,User submissions,Public landing page did not expose a reproducible subclass summary,https://visatracker.com.au/
Visafold,Application tracker/community,2026-09-24,500,Individual application timelines,,,,,,User-entered application status,In-progress cases are censored and not comparable to grants,https://www.visafold.com.au/
AusVisaTime,Calculator/aggregator,2026-09-08,500,By education sector,,,,,,Platform calculator,Method/sample not sufficiently disclosed in public snippet,https://www.ausvisatime.com/student-500
