record_id,duplicate_key,source_id,source_quality_tier,snapshot_date,visa_subclass,application_status,event_observed,lodgement_date,decision_date,as_of_date,waiting_days,education_level,study_sector,field_of_study_group,submit_location,includes_partner,is_diy,provider_group,record_quality_score,quality_flags,provenance_url
VD-160935e9c696772b6da9,1494cc06b18dd47edcdc,PLAT-VISADASHBOARD,C,2026-09-24,500,granted,1,2026-08-13,2026-08-18,2026-08-18,5,PhD,Postgraduate Research,Health and Medicine,Outside Australia,no,yes,Unknown,100,,https://www.visadashboard.top/dashboard/table
VD-059050c95bce66674873,63551f041cbcd4eef3cc,PLAT-VISADASHBOARD,C,2026-09-24,500,granted,1,2025-07-16,2026-07-31,2026-07-31,380,PhD,Postgraduate Research,Computing and Data,Outside Australia,no,unknown,Unknown,100,,https://www.visadashboard.top/dashboard/table
VD-d88f44ed89bc2fd055b1,97b73d7d983333e102c6,PLAT-VISADASHBOARD,C,2026-09-24,500,granted,1,2026-07-03,2026-07-13,2026-07-13,10,PhD,Postgraduate Research,Humanities and Social Sciences,Outside Australia,no,yes,Unknown,100,,https://www.visadashboard.top/dashboard/table
VD-77effdeb7a3dce41f144,b1f914562962e7977ec1,PLAT-VISADASHBOARD,C,2026-09-24,500,granted,1,2025-05-02,2026-07-06,2026-07-06,430,PhD,Postgraduate Research,Natural Sciences,In Australia,no,unknown,Unknown,100,,https://www.visadashboard.top/dashboard/table
VD-d872665c9ee159d557e6,0af41ac67a18d6a9e1f6,PLAT-VISADASHBOARD,C,2026-09-24,500,granted,1,2026-07-05,2026-07-05,2026-07-05,0,PhD,Postgraduate Research,Engineering,Outside Australia,no,yes,Group of Eight,100,,https://www.visadashboard.top/dashboard/table
VD-08e457073c9fa7123d86,9af30a168a4284a4221e,PLAT-VISADASHBOARD,C,2026-09-24,500,granted,1,2025-09-05,2026-07-04,2026-07-04,302,PhD,Postgraduate Research,Natural Sciences,Outside Australia,no,unknown,Unknown,100,,https://www.visadashboard.top/dashboard/table
VD-5d8f54d73f9cb2c0015f,f8d75bd9e20501d7c7ed,PLAT-VISADASHBOARD,C,2026-09-24,500,granted,1,2026-06-19,2026-06-24,2026-06-24,5,PhD,Postgraduate Research,Natural Sciences,Outside Australia,no,no,Other/Unverified,100,,https://www.visadashboard.top/dashboard/table
VD-498cc02f75b8ab024c0b,1b8ce378f00d39c10b7a,PLAT-VISADASHBOARD,C,2026-09-24,500,granted,1,2025-08-14,2026-06-19,2026-06-19,309,PhD,Postgraduate Research,Engineering,Outside Australia,no,yes,Group of Eight,100,,https://www.visadashboard.top/dashboard/table
VD-3374e3bef4832559b1f2,a2b7a64602c304d047ed,PLAT-VISADASHBOARD,C,2026-09-24,500,granted,1,2025-07-30,2026-06-19,2026-06-19,324,PhD,Postgraduate Research,Other,Outside Australia,no,unknown,Unknown,100,,https://www.visadashboard.top/dashboard/table
VD-559301affee10287767e,dbadb8fdde44c8378208,PLAT-VISADASHBOARD,C,2026-09-24,500,granted,1,2026-06-03,2026-06-03,2026-06-03,0,PhD,Postgraduate Research,Health and Medicine,Outside Australia,no,yes,Other/Unverified,100,,https://www.visadashboard.top/dashboard/table
VD-d1f49427edafdb262357,55f7897755d664bbd06b,PLAT-VISADASHBOARD,C,2026-09-24,500,granted,1,2026-04-22,2026-05-28,2026-05-28,36,PhD,Postgraduate Research,Computing and Data,Outside Australia,no,no,Other/Unverified,100,,https://www.visadashboard.top/dashboard/table
VD-1a68c9996dd77b482965,0e0f039916cfd2ec5808,PLAT-VISADASHBOARD,C,2026-09-24,500,granted,1,2026-05-22,2026-05-27,2026-05-27,5,PhD,Postgraduate Research,Other,Outside Australia,no,yes,Other/Unverified,100,,https://www.visadashboard.top/dashboard/table
VD-ffce78d33e660ff0c1e9,d5cf2c04fa976959ae41,PLAT-VISADASHBOARD,C,2026-09-24,500,granted,1,2026-05-07,2026-05-13,2026-05-13,6,PhD,Postgraduate Research,Humanities and Social Sciences,Outside Australia,no,yes,Other/Unverified,100,,https://www.visadashboard.top/dashboard/table
VD-8c103b115f9b4fdd05a2,59f81272e0264b1aa981,PLAT-VISADASHBOARD,C,2026-09-24,500,granted,1,2026-04-07,2026-05-11,2026-05-11,34,PhD,Postgraduate Research,Other,Unknown,no,yes,Group of Eight,95,unknown_submit_location,https://www.visadashboard.top/dashboard/table
VD-d272e1bdf722e50ac111,900ba3f22d731ec52a1f,PLAT-VISADASHBOARD,C,2026-09-24,500,granted,1,2026-05-01,2026-05-05,2026-05-05,4,PhD,Postgraduate Research,Other,Outside Australia,no,yes,Unknown,100,,https://www.visadashboard.top/dashboard/table
VD-658584e6bee7393591b4,440f0ed608be8a41be97,PLAT-VISADASHBOARD,C,2026-09-24,500,granted,1,2025-09-03,2026-04-30,2026-04-30,239,PhD,Postgraduate Research,Humanities and Social Sciences,Outside Australia,no,no,Other/Unverified,100,,https://www.visadashboard.top/dashboard/table
VD-9406bbbcc12e2826ef88,8e593fc4de4803fa40ad,PLAT-VISADASHBOARD,C,2026-09-24,500,granted,1,2025-08-19,2026-04-29,2026-04-29,253,PhD,Postgraduate Research,Computing and Data,Outside Australia,no,yes,Unknown,100,,https://www.visadashboard.top/dashboard/table
VD-54ec27ef4ed87936b33b,85216e51fdf7c55c47db,PLAT-VISADASHBOARD,C,2026-09-24,500,granted,1,2025-08-14,2026-04-29,2026-04-29,258,PhD,Postgraduate Research,Engineering,Outside Australia,no,no,Group of Eight,100,,https://www.visadashboard.top/dashboard/table
VD-e5b679d6dfb12c98e110,e80d868ac4411b85557b,PLAT-VISADASHBOARD,C,2026-09-24,500,granted,1,2025-07-31,2026-04-29,2026-04-29,272,PhD,Postgraduate Research,Other,Outside Australia,no,unknown,Other/Unverified,100,,https://www.visadashboard.top/dashboard/table
VD-cc5ab69cd871d432933b,500853b0a42414eddfe1,PLAT-VISADASHBOARD,C,2026-09-24,500,granted,1,2025-07-18,2026-04-27,2026-04-27,283,PhD,Postgraduate Research,Natural Sciences,Outside Australia,no,yes,Group of Eight,100,,https://www.visadashboard.top/dashboard/table
