source_snapshot_date,activity_month,activity_type,count,applicant_type,client_location,citizenship_country,sector,source_resource_id,source_last_modified,source_file_sha256,source_url,extraction_method
2026-08-31,2015-01,granted,62,Primary,Outside Australia,"China, Peoples Republic of (excl SARs)",Postgraduate Research Sector,dfc7a893-0523-4b8e-bc5a-829e35bec90f,2026-09-23T23:23:24.105009,d3a5638eb5c2147d7f18a11a2ea6625e3ea36e4588bde9382588c575fdbfe43c,https://data.gov.au/data/dataset/324aa4f7-46bb-4d56-bc2d-772333a2317e/resource/dfc7a893-0523-4b8e-bc5a-829e35bec90f/download/bp0015l-student-visas-granted-report-locked-at-2025-08-31-v100.xlsx,BP0015 pivot-cache aggregation
2026-08-31,2015-01,lodged,83,Primary,Outside Australia,"China, Peoples Republic of (excl SARs)",Postgraduate Research Sector,ef31b2b4-a894-484b-99bc-e35d62ace777,2026-09-23T23:21:48.495885,094c98ff27ecb66ac3d8ca3294d48c717f38149b8d6662e947baa086a651d9e2,https://data.gov.au/data/dataset/324aa4f7-46bb-4d56-bc2d-772333a2317e/resource/ef31b2b4-a894-484b-99bc-e35d62ace777/download/bp0015l-student-visas-lodged-report-locked-at-2025-08-31-v100.xlsx,BP0015 pivot-cache aggregation
2026-08-31,2015-02,granted,83,Primary,Outside Australia,"China, Peoples Republic of (excl SARs)",Postgraduate Research Sector,dfc7a893-0523-4b8e-bc5a-829e35bec90f,2026-09-23T23:23:24.105009,d3a5638eb5c2147d7f18a11a2ea6625e3ea36e4588bde9382588c575fdbfe43c,https://data.gov.au/data/dataset/324aa4f7-46bb-4d56-bc2d-772333a2317e/resource/dfc7a893-0523-4b8e-bc5a-829e35bec90f/download/bp0015l-student-visas-granted-report-locked-at-2025-08-31-v100.xlsx,BP0015 pivot-cache aggregation
2026-08-31,2015-02,lodged,51,Primary,Outside Australia,"China, Peoples Republic of (excl SARs)",Postgraduate Research Sector,ef31b2b4-a894-484b-99bc-e35d62ace777,2026-09-23T23:21:48.495885,094c98ff27ecb66ac3d8ca3294d48c717f38149b8d6662e947baa086a651d9e2,https://data.gov.au/data/dataset/324aa4f7-46bb-4d56-bc2d-772333a2317e/resource/ef31b2b4-a894-484b-99bc-e35d62ace777/download/bp0015l-student-visas-lodged-report-locked-at-2025-08-31-v100.xlsx,BP0015 pivot-cache aggregation
2026-08-31,2015-03,granted,51,Primary,Outside Australia,"China, Peoples Republic of (excl SARs)",Postgraduate Research Sector,dfc7a893-0523-4b8e-bc5a-829e35bec90f,2026-09-23T23:23:24.105009,d3a5638eb5c2147d7f18a11a2ea6625e3ea36e4588bde9382588c575fdbfe43c,https://data.gov.au/data/dataset/324aa4f7-46bb-4d56-bc2d-772333a2317e/resource/dfc7a893-0523-4b8e-bc5a-829e35bec90f/download/bp0015l-student-visas-granted-report-locked-at-2025-08-31-v100.xlsx,BP0015 pivot-cache aggregation
2026-08-31,2015-03,lodged,36,Primary,Outside Australia,"China, Peoples Republic of (excl SARs)",Postgraduate Research Sector,ef31b2b4-a894-484b-99bc-e35d62ace777,2026-09-23T23:21:48.495885,094c98ff27ecb66ac3d8ca3294d48c717f38149b8d6662e947baa086a651d9e2,https://data.gov.au/data/dataset/324aa4f7-46bb-4d56-bc2d-772333a2317e/resource/ef31b2b4-a894-484b-99bc-e35d62ace777/download/bp0015l-student-visas-lodged-report-locked-at-2025-08-31-v100.xlsx,BP0015 pivot-cache aggregation
2026-08-31,2015-04,granted,32,Primary,Outside Australia,"China, Peoples Republic of (excl SARs)",Postgraduate Research Sector,dfc7a893-0523-4b8e-bc5a-829e35bec90f,2026-09-23T23:23:24.105009,d3a5638eb5c2147d7f18a11a2ea6625e3ea36e4588bde9382588c575fdbfe43c,https://data.gov.au/data/dataset/324aa4f7-46bb-4d56-bc2d-772333a2317e/resource/dfc7a893-0523-4b8e-bc5a-829e35bec90f/download/bp0015l-student-visas-granted-report-locked-at-2025-08-31-v100.xlsx,BP0015 pivot-cache aggregation
2026-08-31,2015-04,lodged,40,Primary,Outside Australia,"China, Peoples Republic of (excl SARs)",Postgraduate Research Sector,ef31b2b4-a894-484b-99bc-e35d62ace777,2026-09-23T23:21:48.495885,094c98ff27ecb66ac3d8ca3294d48c717f38149b8d6662e947baa086a651d9e2,https://data.gov.au/data/dataset/324aa4f7-46bb-4d56-bc2d-772333a2317e/resource/ef31b2b4-a894-484b-99bc-e35d62ace777/download/bp0015l-student-visas-lodged-report-locked-at-2025-08-31-v100.xlsx,BP0015 pivot-cache aggregation
2026-08-31,2015-05,granted,20,Primary,Outside Australia,"China, Peoples Republic of (excl SARs)",Postgraduate Research Sector,dfc7a893-0523-4b8e-bc5a-829e35bec90f,2026-09-23T23:23:24.105009,d3a5638eb5c2147d7f18a11a2ea6625e3ea36e4588bde9382588c575fdbfe43c,https://data.gov.au/data/dataset/324aa4f7-46bb-4d56-bc2d-772333a2317e/resource/dfc7a893-0523-4b8e-bc5a-829e35bec90f/download/bp0015l-student-visas-granted-report-locked-at-2025-08-31-v100.xlsx,BP0015 pivot-cache aggregation
2026-08-31,2015-05,lodged,70,Primary,Outside Australia,"China, Peoples Republic of (excl SARs)",Postgraduate Research Sector,ef31b2b4-a894-484b-99bc-e35d62ace777,2026-09-23T23:21:48.495885,094c98ff27ecb66ac3d8ca3294d48c717f38149b8d6662e947baa086a651d9e2,https://data.gov.au/data/dataset/324aa4f7-46bb-4d56-bc2d-772333a2317e/resource/ef31b2b4-a894-484b-99bc-e35d62ace777/download/bp0015l-student-visas-lodged-report-locked-at-2025-08-31-v100.xlsx,BP0015 pivot-cache aggregation
